date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:50	358793/358793	---M--	200	added ('OK')	image/jpeg	etag:%225a0c1e-57989-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/subscribe-section-bg-2.jpg	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/subscribe-section-bg-2.jpg	(from http://asianitbd.com/wp/eventtime/)
22:10:54	5355/5355	---M--	200	added ('OK')	image/png	etag:%225a0c22-14eb-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/author.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/author.png	(from http://asianitbd.com/wp/eventtime/)
22:11:02	46163/46163	---M--	200	added ('OK')	image/jpeg	etag:%225a0afa-b453-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/2-2.jpg	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/2-2.jpg	(from http://asianitbd.com/wp/eventtime/)
22:11:05	1360/1360	---M--	200	added ('OK')	image/png	etag:%225a0f59-550-53076043e01c0%22	http://asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/name.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/name.png	(from http://asianitbd.com/wp/eventtime/)
22:11:07	69501/69501	---M--	200	added ('OK')	image/jpeg	etag:%225a0a09-10f7d-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/3-2.jpg	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/3-2.jpg	(from http://asianitbd.com/wp/eventtime/)
22:11:10	1404/1404	---M--	200	added ('OK')	image/png	etag:%225a0f56-57c-53076043e01c0%22	http://asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/email.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/email.png	(from http://asianitbd.com/wp/eventtime/)
22:11:11	1344/1344	---M--	200	added ('OK')	image/png	etag:%225a0f58-540-53076043e01c0%22	http://asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/phone.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/phone.png	(from http://asianitbd.com/wp/eventtime/)
22:11:12	1314/1314	---M--	200	added ('OK')	image/png	etag:%225a0f53-522-53076043e01c0%22	http://asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/password.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/icons/password.png	(from http://asianitbd.com/wp/eventtime/)
22:11:22	59791/59791	---M--	200	added ('OK')	image/png	etag:%225a0c60-e98f-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/4-1-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/4-1-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:23	64420/64420	---M--	200	added ('OK')	image/png	etag:%225a0c9f-fba4-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/3-1-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/3-1-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:28	603133/603133	---M--	200	added ('OK')	image/jpeg	etag:%225a0989-933fd-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/register-bg-2.jpg	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/register-bg-2.jpg	(from http://asianitbd.com/wp/eventtime/)
22:11:31	11468/11468	---M--	200	added ('OK')	image/png	etag:%225a0af1-2ccc-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/app-main-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/app-main-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:33	63327/63327	---M--	200	added ('OK')	image/png	etag:%225a0c74-f75f-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/1-1-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/1-1-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:34	73558/73558	---M--	200	added ('OK')	image/png	etag:%225a0b4f-11f56-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/2-1-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/2-1-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:34	1994/1994	---M--	200	added ('OK')	image/png	etag:%225a0fa9-7ca-53076043e01c0%22	http://asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/testimonials/arrow-left.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/testimonials/arrow-left.png	(from http://asianitbd.com/wp/eventtime/)
22:11:34	22775/22775	---M--	200	added ('OK')	image/png	etag:%225a0aea-58f7-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/app-bg-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/app-bg-2.png	(from http://asianitbd.com/wp/eventtime/)
